数据实践之美,5.2,11,79.0,天善智能,机械工业出版社,https://book.douban.com/subject/26952335/
看穿一切数字的统计学,6.5,218,36.0,[日]西内启,中信出版社,https://www.douban.com/accounts/login?source=book
医疗革命,7.4,14,49.0,邵学杰,电子工业出版社,https://book.douban.com/subject/26883731/
Web3.0,8.6,27,45.0,大卫·西格尔,科学出版社,https://book.douban.com/subject/24846202/
命令行中的数据科学,7.6,29,49.0,[荷]JeroenJanssens,人民邮电出版社,https://book.douban.com/subject/26387975/
业务建模与数据挖掘,7.3,18,55.0,[美]DorianPyle；杨冬青,机械工业出版社,https://book.douban.com/subject/1312415/
数据挖掘与机器学习——WEKA应用技术与实践,7.5,14,52.8,袁梅宇,清华大学出版社,https://book.douban.com/subject/25967487/
神经网络与机器学习（原书第3版）,8.1,93,79.0,[加]SimonHaykin,机械工业出版社,https://book.douban.com/subject/5952531/
大数据可视化：重构智慧社会,7.0,15,59.0,【美】PhilSimon,人民邮电出版社,https://book.douban.com/subject/26426898/
机器学习实践指南,6.6,38,69.0,麦好,机械工业出版社,https://book.douban.com/subject/25879705/
IBMSPSSModeler数据与文本挖掘实战,7.5,21,55.0,王国平，郭伟宸，汪若君,清华大学出版社,https://book.douban.com/subject/26100939/
实验设计与分析,8.5,17,89.0,"（美）蒙哥马利（Montgomery,D.C）",人民邮电出版社,https://book.douban.com/subject/3393375/
淘宝网店大数据营销：数据分析、挖掘、高效转化,6.2,40,59.0,老A电商学院,人民邮电出版社,https://book.douban.com/subject/26435872/
正在发生的未来,6.7,109,57.0,刘德寰、刘向清、崔凯、荆婧,机械工业出版社,https://book.douban.com/subject/10575969/
可视化数据挖掘,6.7,11,58.0,(美国)苏克等著、朱建秋等译,电子工业出版社,https://book.douban.com/subject/1230141/
深入理解SPARK,7.2,17,99.0,耿嘉安,机械工业出版社,https://book.douban.com/subject/26710207/
数据挖掘原理,7.1,27,48.0,DavidHand、HeikkiMannila、PadhraicSmyth,机械工业出版社,https://book.douban.com/subject/1103515/
分析的艺术,7.1,22,20.0,陈功,中国经济出版社,https://book.douban.com/subject/1424641/
Python编程快速上手,9.2,224,69.0,斯维加特(AlSweigart),人民邮电出版社,https://book.douban.com/subject/26836700/
多元数据分析,6.5,49,109.0,JosephF.Hair、WilliamC.Black、BarryJ.Babin、RolphE.Anderson,机械工业出版社,https://book.douban.com/subject/6327192/
公共仓库元模型开发指南,6.9,18,69.0,(美)JohnPoole…[等],机械工业出版社,https://book.douban.com/subject/1239401/
数据挖掘,7.7,21,38.0,迈克尔?J?A?贝里、戈登?S?利诺夫,中国财政经济出版社,https://book.douban.com/subject/1128377/
其实你不知道你错得离谱,6.9,18,35.0,【美】小理查兹?J.雅,江苏人民出版社,https://book.douban.com/subject/26549446/
发现数据之美：数据分析原理与实践,7.0,11,75.0,彭鸿涛、聂磊,电子工业出版社,https://book.douban.com/subject/25943422/
机器学习实践：测试驱动的开发方法,6.4,15,49.0,[美]MatthewKirk,人民邮电出版社,https://book.douban.com/subject/26587216/
SQL必知必会,8.5,631,29.0,福达(BenForta),人民邮电出版社,https://book.douban.com/subject/24250054/
实用数据分析,6.0,13,59.0,（美）HectorCuesta,机械工业出版社,https://book.douban.com/subject/25985495/
机器学习算法原理与编程实践,5.4,15,88.0,郑捷,电子工业出版社,https://book.douban.com/subject/26667987/
信用评分模型技术与应用,6.1,27,60.0,陈建,中国财政经济出版社,https://book.douban.com/subject/1488075/
